DRUGBANK_ID,pipe_genesymbol
DB05969,CDK7
DB16008,VDR
DB09020,GPR55
DB00635,APOE
DB12007,CYP2E1
DB12874,PDGFRB
DB01005,DNTT
DB00398,ARAF
DB11974,PIK3R2
DB12783,CBX1
DB00213,ATP4A
DB00842,CYP3A4
DB04829,HTR1A
DB00866,ADRB2
DB12105,CACNA1F
DB04242,CA2
DB04849,CSF1R
DB12303,TLR8
DB00255,NR1I2
DB00864,FMO3
DB00997,GADD45A
DB02709,POLK
DB09078,KDR
DB12551,GMNN
DB00834,NR3C1
DB00480,KRAS
DB00291,MGMT
DB00860,BAX
DB01184,ATAD5
DB00661,CACNB4
DB03322,CYP1A2
DB12729,ALK
DB00987,CYP2C9
DB11910,HRH4
DB00917,PTGER4
DB09225,HTR2A
DB01135,CHRM2
DB00361,RRM1
DB00475,GABRE
DB01229,TUBB
DB00398,RET
DB00476,SLC6A4
DB01590,VHL
DB00938,ADRB1
DB00180,CYP2D6
DB00420,DRD1
DB08877,JAK2
DB00120,TH
DB01349,AGTR1
DB06589,PDGFRB
DB01303,PDE4C
DB05294,FLT1
DB12146,CDKN2A
DB00641,APOA5
DB01611,TNF
DB00619,PDGFRA
DB06803,STAT3
DB01175,HTR2C
DB00968,RGS4
DB00898,LIPC
DB15334,CYP2C19
DB12174,HDAC1
DB12962,ACVR1
DB01142,HRH1
DB06629,EDNRA
DB06711,DRD2
DB00897,GABRR1
DB00591,AR
DB00643,TUBA1A
DB00388,DRD2
DB12082,PDE3A
DB01022,GGCX
DB01008,CTH
DB00246,HTR2C
DB06248,LTB4R
DB14575,SCN4A
DB00175,MTHFR
DB11689,MAP2K1
DB01046,CLCN2
DB04365,CHRM3
DB00622,CBX1
DB00398,MAPK11
DB12174,HDAC11
DB12015,PIK3CA
DB01357,CYP2C19
DB06287,PTEN
DB13946,AR
DB01254,ABL1
DB12114,EGFR
DB00170,NQO1
DB16148,PTGER1
DB04849,SRC
DB01144,CA1
DB15048,SLC5A1
DB14596,NFE2L2
DB13919,PLEKHJ1
DB01015,G6PD
DB00117,CA5A
DB00574,TPH2
DB00863,CYP2D6
DB14060,CYP2D6
DB12008,CHEK2
DB12745,AKT1
DB00767,CHRM1
DB11992,DPP4
DB00398,KDR
DB04835,CCR5
DB12174,HDAC4
DB11694,CDK8
DB00482,CASP3
DB12614,CXCR1
DB00645,EHMT2
DB08770,ADORA2B
DB11682,P4HTM
DB03285,VDR
DB06144,DRD2
DB07080,PPARA
DB09079,FLT1
DB00409,DRD2
DB01580,ADRB1
DB11725,GRIN3A
DB05552,PIK3CG
DB04876,DPP4
DB12099,CPB2
DB01222,NR3C1
DB06589,LTK
DB06589,ABL1
DB01044,CLK2
DB01229,TUBB1
DB07352,SMN2
DB13790,CYP1A2
DB00446,ALDH1A1
DB02375,HSD17B10
DB01320,SCN5A
DB11663,PIK3R3
DB01064,VDR
DB00818,GABRQ
DB00726,CYP2D6
DB12238,GABRA3
DB00870,PTGS1
DB00475,GABRA5
DB00422,TH
DB01068,GABRA1
DB05482,TOP1
DB01577,DRD3
DB01267,ERBB4
DB00523,RXRG
DB00706,ADRA1B
DB01237,HRH1
DB00851,CYP1A1
DB11743,AKT3
DB00394,NFE2L2
DB06774,BDNF
DB00610,CYP2C19
DB00463,GABRG3
DB11962,PIK3CA
DB01289,KCNJ10
DB04831,CYP2D6
DB11891,HTT
DB00371,GABRA3
DB00628,GABRA1
DB15123,GCK
DB01005,RRM2
DB00531,IFNG
DB11457,CBX1
DB00334,CCKBR
DB11694,LYN
DB01229,EDNRB
DB06787,CHRM5
DB01645,PTGES3
DB11974,PTEN
DB00176,COMT
DB09526,BCL2
DB00352,PRPS1
DB01103,MTOR
DB01193,ADRB1
DB00331,CAPN10
DB12978,FLT3
DB13950,EHMT2
DB11991,PSMB4
DB01159,KCNK10
DB01134,NR3C2
DB01234,SI
DB00422,RRP7A
DB03671,PAX8
DB00298,ADRA1B
DB11918,DNMT1
DB08889,PSMB2
DB00238,ABCC1
DB00990,PGR
DB12720,CASP9
DB01202,SCN1A
DB00594,ASIC3
DB06262,ADRA1B
DB01067,KCNJ11
DB00334,DRD2
DB11656,FGF2
DB00651,PDE4B
DB14726,ADK
DB00349,GABRB2
DB00898,NAT2
DB06235,PIM3
DB06148,HTR2A
DB00175,ABCA1
DB01018,ADRA2C
DB01236,RYR1
DB00547,NR3C1
DB14860,ALK
DB01012,GMNN
DB13393,ATAD5
DB00589,HTR1A
DB00801,GABRB1
DB04703,APBA1
DB05381,EHMT2
DB00625,NAT2
DB16343,NR1H4
DB00746,TGM2
DB00277,PDE3B
DB16101,BLM
DB01620,HRH1
DB01210,ADRB1
DB12237,NOS2
DB04840,ADRA1D
DB00801,GABRA4
DB03203,TRPM3
DB11718,ARAF
DB01115,GRP
DB16101,MGAM
DB00553,CYP1A2
DB12515,PTH1R
DB11651,MTOR
DB12029,KDM4A
DB08889,PSMD14
DB00398,MAPK14
DB00363,DRD2
DB11703,BTK
DB01175,FKBP5
DB08399,RGS4
DB00433,MPHOSPH8
DB04842,HTR1E
DB01590,RPTOR
DB01010,ACHE
DB11396,PPARD
DB00598,CYP2C19
DB13044,FEN1
DB00441,ALG10
DB00544,TP53
DB00683,TNF
DB01255,ADRA1A
DB00244,PTGS1
DB00257,CYTH2
DB00619,RET
DB00500,PTGS2
DB11155,SMAD3
DB00806,BCL2
DB00898,CYP2D6
DB01073,IKZF1
DB05239,KRAS
DB11644,TTR
DB11507,PTGER3
