genesymbol,seqname,start,end
DDX11L1,chr1,11869,14409
WASH7P,chr1,14404,29570
MIR6859-1,chr1,17369,17436
MIR1302-2HG,chr1,29554,31109
MIR1302-2,chr1,30366,30503
FAM138A,chr1,34554,36081
OR4G4P,chr1,52473,53312
OR4G11P,chr1,57598,64116
OR4F5,chr1,65419,71585
ENSG00000238009,chr1,89295,133723
ENSG00000239945,chr1,89551,91105
CICP27,chr1,131025,134836
ENSG00000268903,chr1,135141,135895
ENSG00000269981,chr1,137682,137965
ENSG00000239906,chr1,139790,140339
ENSG00000241860,chr1,141474,173862
RNU6-1100P,chr1,157784,157887
ENSG00000241599,chr1,160446,161525
DDX11L17,chr1,182696,184174
WASH9P,chr1,185217,195411
MIR6859-2,chr1,187891,187958
ENSG00000228463,chr1,257864,359681
ENSG00000286448,chr1,266855,268655
RPL23AP24,chr1,347982,348366
ENSG00000236601,chr1,358857,366052
ENSG00000237094,chr1,365389,522928
WBP1LP7,chr1,439870,440232
OR4F29,chr1,450740,451678
CICP7,chr1,487101,489906
ENSG00000250575,chr1,491225,493241
U6,chr1,516376,516479
ENSG00000230021,chr1,586071,827796
ENSG00000235146,chr1,587629,594768
MTND1P23,chr1,629062,629433
MTND2P28,chr1,629640,630683
MTCO1P12,chr1,631074,632616
ENSG00000278791,chr1,632325,632413
MTCO2P12,chr1,632757,633438
MTATP8P1,chr1,633535,633741
MTATP6P1,chr1,633696,634376
MTCO3P12,chr1,634376,634922
WBP1LP6,chr1,674842,675265
OR4F16,chr1,685716,686654
CICP3,chr1,722092,724903
ENSG00000228327,chr1,725885,778669
RNU6-1199P,chr1,758233,758336
ENSG00000229905,chr1,760911,761989
LINC01409,chr1,778747,810065
ENSG00000285268,chr1,781937,782050
ENSG00000230092,chr1,800879,817712
FAM87B,chr1,817371,819837
LINC01128,chr1,825138,859446
LINC00115,chr1,826206,827522
ENSG00000288531,chr1,860226,868202
FAM41C,chr1,868071,876903
TUBB8P11,chr1,873292,874349
ENSG00000283040,chr1,874529,877234
ENSG00000272438,chr1,904834,915976
ENSG00000230699,chr1,911435,914948
ENSG00000241180,chr1,914171,914971
LINC02593,chr1,916865,921016
SAMD11,chr1,923923,944575
NOC2L,chr1,944203,959309
KLHL17,chr1,960584,965719
PLEKHN1,chr1,966482,975865
PERM1,chr1,975204,982093
ENSG00000272512,chr1,995966,998051
HES4,chr1,998962,1000172
ISG15,chr1,1001138,1014540
ENSG00000231702,chr1,1008076,1008229
ENSG00000224969,chr1,1011997,1013193
AGRN,chr1,1020120,1056118
ENSG00000242590,chr1,1055033,1056116
ENSG00000217801,chr1,1059687,1069355
ENSG00000273443,chr1,1062208,1063288
RNF223,chr1,1070967,1074306
C1orf159,chr1,1081818,1116361
ENSG00000285812,chr1,1097585,1104598
LINC01342,chr1,1137017,1144056
MIR200B,chr1,1167104,1167198
MIR200A,chr1,1167863,1167952
MIR429,chr1,1169005,1169087
ENSG00000272141,chr1,1169357,1170343
TTLL10-AS1,chr1,1173056,1179555
TTLL10,chr1,1173880,1197936
TNFRSF18,chr1,1203508,1206592
TNFRSF4,chr1,1211340,1214153
SDF4,chr1,1216909,1232067
B3GALT6,chr1,1232237,1235041
C1QTNF12,chr1,1242446,1246722
ENSG00000260179,chr1,1249777,1251334
UBE2J2,chr1,1253909,1273864
LINC01786,chr1,1275223,1280420
SCNN1D,chr1,1280436,1292029
ACAP3,chr1,1292390,1309609
MIR6726,chr1,1296110,1296170
PUSL1,chr1,1308597,1311677
INTS11,chr1,1311585,1324687
MIR6727,chr1,1312502,1312566
ENSG00000240731,chr1,1317581,1318689
CPTP,chr1,1324756,1328896
TAS1R3,chr1,1331280,1335314
DVL1,chr1,1335276,1349418
MIR6808,chr1,1339650,1339708
MXRA8,chr1,1352689,1361777
AURKAIP1,chr1,1373730,1375207
NDUFB4P8,chr1,1378666,1379032
CCNL2,chr1,1385711,1399335
MRPL20-AS1,chr1,1399515,1402046
MRPL20,chr1,1401909,1407293
RN7SL657P,chr1,1405460,1405752
MRPL20-DT,chr1,1409096,1410618
ANKRD65,chr1,1418420,1421769
ENSG00000225905,chr1,1420245,1422691
TMEM88B,chr1,1425871,1430255
LINC01770,chr1,1430539,1434573
VWA1,chr1,1434861,1442882
ATAD3C,chr1,1449689,1470163
ATAD3B,chr1,1471765,1497848
ENSG00000284740,chr1,1503250,1509466
ATAD3A,chr1,1512162,1534685
TMEM240,chr1,1534778,1540624
SSU72,chr1,1541673,1574863
ENSG00000215014,chr1,1574102,1577075
ENSG00000274481,chr1,1583510,1583909
FNDC10,chr1,1598012,1600135
ENSG00000286989,chr1,1600314,1602703
ENSG00000272106,chr1,1613758,1615795
MIB2,chr1,1615454,1630605
MMP23B,chr1,1632163,1635263
CDK11B,chr1,1635225,1659012
ENSG00000272004,chr1,1659325,1662602
SLC35E2B,chr1,1659529,1692795
ENSG00000269737,chr1,1671990,1674397
MMP23A,chr1,1699942,1701782
CDK11A,chr1,1702379,1724357
ENSG00000268575,chr1,1702736,1737688
ENSG00000227775,chr1,1724512,1737251
SLC35E2A,chr1,1724838,1745992
NADK,chr1,1751232,1780457
GNB1,chr1,1785285,1891117
ENSG00000231050,chr1,1891223,1892726
CALML6,chr1,1915108,1917296
TMEM52,chr1,1917590,1919279
CFAP74,chr1,1921951,2003837
ENSG00000233542,chr1,2013213,2015639
GABRD,chr1,2019329,2030758
ENSG00000226969,chr1,2049203,2050070
